Microbe ID,No Plastic,,,,,,,,,PET Wells,,,,,,,,,PET Films,,,,,,,,,PP Wells,,,,,,,,,PP Films,,,,,,,,
KMM 217,0.04930609,0.04389444,0.04930609,0.09798876,0.08877352,0.10443943,0.047180165,0.055616353,0.041556039,0.05712291,0.06433843,0.06524037,0.07863675,0.0731076,0.06849998,0.048742422,0.043118296,0.05061713,0.01062574,0.00354191,-0.001771,0.02895054,0.05066345,0.02352232,0.006134969,0.013496933,0.022699387,0.04088798,0.04900544,0.06073067,0.075565,0.07740805,0.07280043,0.051866936,0.066864604,0.050929582,0.00826446,0.01003542,-0.0076741,0.01628468,0.03437877,0.03256936,0.004907976,0.019631902,0.663803681
KMM 218,0.05020803,0.02134593,0.0628352,0.04546187,0.04822644,0.04546187,0.018122183,0.019059537,0.029370434,0.04629962,0.04900544,0.04088798,0.03256053,0.02610986,0.04822644,0.012185606,0.016872377,0.023433857,0.01062574,0.00531287,0.00354191,0.02171291,0.03618818,0.02171291,0.000613497,-0.003067485,0.00797546,0.04449574,0.04088798,0.04629962,0.02395963,0.01474439,0.03225335,0.019996891,0.026558371,0.034994559,-0.012987,-0.0059032,-0.0094451,0.01085645,0.00723764,0.00904704,0.034355828,0.028834356,0.003067485
KMM 219,0.01503234,0.01142458,0.00330712,0.0012287,0.00952242,0.00307175,0.007811286,0.007811286,0.007811286,0.03367245,0.04900544,0.03818215,0.00583632,0.0012287,0.01228699,0.008436188,0.00656148,0.009373543,-0.0053129,0,0.03364817,0.00723764,0.04704463,0.03437877,0.134969325,0.079754601,-0.003067485,0.02194734,0.03277038,0.02465297,0.00552915,0.01382287,0.00552915,0.023746308,0.017184828,0.018122183,-0.0165289,0.01003542,0.05785124,0.06332931,0.04704463,0.01085645,-0.006134969,0.067484663,0.148466258
KMM 222,0.02495369,0.05110997,0.07907013,,,,,,,0.04629962,0.06975008,0.07786754,,,,,,,0.02656434,0.00885478,0.08854782,,,,,,,0.05441709,0.06253455,0.05080932,,,,,,,0.05785124,0.18713105,,,,,,,
KMM 227,-0.0020325,0.00145181,0.00319399,,,,,,,-0.0037747,0.00145181,0.00667834,,,,,,,0.01026226,0.06841505,0.16077537,,,,,,,0.01364704,0.01190486,0.0092916,,,,,,,0.00285063,0.004561,0.18757127,,,,,,
KMM 230,0.08862903,0.08284888,0.04527788,0.10078571,0.09005113,0.09005113,0.05615002,0.07071867,0.0579711,0.06936185,0.09537255,0.07225193,0.0700729,0.06291652,0.05933833,0.04886569,0.05432893,0.0579711,0.02395965,0.02395965,0.00882724,0.02810304,0.05971897,0.04391101,0.01847437,0.01311085,0.00417163,0.0847756,0.08862903,0.09633591,0.09213841,0.08319294,0.08050929,0.05099028,0.05099028,0.05190083,0.01513241,-0.0056747,-0.0132409,0.04508197,0.04859485,0.08723653,0.01549464,0.02085816,0.03694875
KMM 232,0.03371757,0.03660764,0.01926718,0.05375559,0.02242376,0.01320852,0.012498057,0.010623348,0.023746308,0.04720459,0.02504734,0.0635817,0.01505157,0.01597309,0.01044394,0.003749417,0.012185606,0.026245919,0.03530895,0.16204288,0.14691047,0.01809409,0.02895054,0.06875754,0.090797546,0.019018405,0.041104295,0.0211939,0.05587482,0.0211939,0.01382287,0.0340964,0.03317488,0.016247474,0.019059537,0.012498057,0.10214376,0.03783102,0.05485498,0.01628468,0.039807,0.01628468,0.006748466,-0.004294479,0.001226994
KMM 236,0.01800247,0.02584226,0.02410009,0.00860089,0.00307175,0.00860089,0.006873931,0.00218716,0.005936577,0.00406507,0.01190486,0.01451812,0.00767937,0.01781614,0.00215022,0.021559148,0.009373543,0.014997668,0.00684151,-0.0034208,0.00171038,0.03256936,0.0199035,0.03075995,0.013496933,-0.003067485,-0.003067485,0.01364704,0.02235791,0.11643536,0.01197982,0.01658744,0.03133183,0.007811286,0.010623348,0.003124514,-0.0039909,-0.0125428,0.0336374,0.0199035,0.01447527,0.01447527,0.023312883,-0.00797546,-0.00797546
KMM 244,0.22149848,0.23777183,0.28659191,,,,,,,0.14344663,0.1298855,0.11089992,,,,,,,0.05502959,0.00532544,0.01242604,,,,,,,0.11180399,0.12807735,0.14163848,,,,,,,0.03668639,0.03846154,0.00118343,,,,,,
KMM 245,0.11817754,0.09727144,0.1416969,,,,,,,0.14082581,0.1347282,0.17044279,,,,,,,0.02736602,0.04789054,0.03762828,,,,,,,0.1347282,0.14256799,0.12950167,,,,,,,-0.0022805,0.00285063,0.00798176,,,,,,
